userid,orderType
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,1
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,1
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,1
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,1
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,1
1.10E+11,0
1.10E+11,0
1.10E+11,1
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,1
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,1
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,1
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,1
1.10E+11,0
1.10E+11,0
1.10E+11,1
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,1
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,1
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,1
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,1
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,1
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,1
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,1
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,1
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,1
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,1
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,1
1.10E+11,1
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,1
1.10E+11,1
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,1
1.10E+11,1
1.10E+11,0
1.10E+11,0
1.10E+11,1
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,1
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,1
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,1
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,1
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,1
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,1
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,1
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,1
1.10E+11,0
1.10E+11,0
1.10E+11,1
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,1
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
1.10E+11,0
